max class		max class score				score						word
ورزش			0.6066651285000728			0.20264844832968654			ورزشی
ورزش			0.5125899412547701			0.17390942901556333			تیم
ورزش			0.27940208415993845			0.09981938493132239			فوتبال
سیاسی			0.25844035924495046			0.0947265053136361			سیاسی
اقتصاد			0.23294467669644447			0.08851158011078306			اقتصادی
اجتماعی			0.2652457402471307			0.08585002693705841			اجتماعی
ورزش			0.2090918138886383			0.07656862436000868			بازی
ورزش			0.21788331287205187			0.07608500059063643			جام
ورزش			0.19542589855526346			0.07037801107913486			قهرمانی
ورزش			0.15566558060754854			0.05624554886294529			بازیکن
سیاسی			0.12387044258753815			0.05401871473129234			اسلامی
ورزش			0.14094332115775804			0.0510222907261801			بازیکنان
ورزش			0.13533982999148722			0.048510362820174374		فدراسیون
ورزش			0.13306248745718066			0.04803407598753458			مسابقات
اقتصاد			0.12509748665731002			0.04601387653785413			دلار
ورزش			0.1146950017800481			0.04482082446464251			مسابقه
سیاسی			0.10563437572591469			0.04427362850982064			مجلس
اقتصاد			0.1140206966241917			0.043137579803320586		قیمت
سیاسی			0.10476214739486704			0.04191981858322686			شورای
اقتصاد			0.1134831347641388			0.041895968254863664		گذاری
اقتصاد			0.11273373454338495			0.04156623519266647			سرمایه
ورزش			0.11328410621478852			0.04133229987091931			باشگاههای
ورزش			0.11821141636192169			0.0413315074497722			آسیا
اقتصاد			0.10874882416655066			0.04129310166009007			صنایع
اقتصاد			0.10095570319572097			0.041184037544905856		تولید
اقتصاد			0.10132497005356525			0.04067402524204626			بازار
ورزش			0.10931563654793641			0.0400264213513235			بازیهای
سیاسی			0.0867701387048685			0.038921988493987855		مردم
ورزش			0.10661024926079699			0.03587329868387866			رقابت
ورزش			0.09401746819299886			0.034418718670194595		مربی
اقتصاد			0.08948333828987255			0.033878010749623697		میلیارد
ورزش			0.09140436269191528			0.03318851090460041			حریف
ورزش			0.09022367083066321			0.03244111127250606			باشگاه
اقتصاد			0.08486700949697017			0.032432629299871035		ارزی
سیاسی			0.06444264776598559			0.03223207443567071			جمهوری
ورزش			0.08209988498240162			0.0312321775798749			قهرمان
اجتماعی			0.0747383725141105			0.030739141029661205		دادگاه
اقتصاد			0.07829396828217396			0.030718269431429406		ریال
ورزش			0.08684506234446933			0.030704283275045038		شکست
اقتصاد			0.07932599782826318			0.030544051687078643		صنعتی
سیاسی			0.07820761648407121			0.029930436188596657		آیت
سیاسی			0.08224267392496053			0.029612225238362953		انتخابات
سیاسی			0.07751921262462282			0.029311982506684875		معظم
اقتصاد			0.08091941638521742			0.029214520528185135		نفت
اقتصاد			0.0769002487464576			0.02895813034179196			صادرات
سیاسی			0.06602963381441423			0.028946578676916433		انقلاب
ورزش			0.07689579408224381			0.027998050199967803		پرسپولیس
اقتصاد			0.07184396003665522			0.02787048082446039			تولیدی
ورزش			0.07688244381572704			0.0276449406307953			تیمی
اقتصاد			0.06422398331339843			0.02762866955637591			توسعه
اقتصاد			0.06869419243815464			0.027538010275240346		درصد
سیاسی			0.06625220282313704			0.027342401948517336		آقای
اقتصاد			0.0686070970189229			0.027338365571113292		افزایش
ورزش			0.0749447910791459			0.027100146159816155		ورزشگاه
ورزش			0.06983157078885317			0.026581390030078745		مربیان
ورزش			0.07297744514903971			0.026535089117001396		گروه
ورزش			0.06868019732728065			0.026322722057644053		گل
اقتصاد			0.06810426865305044			0.0258304766536845	    	پتروشیمی
اقتصاد			0.06777347239909731			0.025756867022391466		ارز
سیاسی			0.06832052356036344			0.02569164200148956			خاتمی
سیاسی			0.05275388123957395			0.02566626095769979			نظام
اقتصاد			0.06595997577004885			0.025081267515862125		سهام
ورزش			0.06782220285348677			0.024528119862755302		مصاف
ورزش			0.06689408370211908			0.024263201397127947		المپیک
ورزش			0.05057902541763896			0.024082579522180916		وزیر
ورزش			0.06442373217254699			0.02360088484429204			لیگ
ورزش			0.06426063231123011			0.023315804478257148		دولت
ورزش			0.06276435352688606			0.022914854775917325		والیبال
اقتصاد			0.05616330549477383			0.022770985744112182		فروش
ورزش			0.0622468210712316			0.022721826213889372		سرمربی
اجتماعی			0.06337022466978964			0.022670760826706923		روزنامه
اقتصاد			0.06014280471296985			0.022398774154174565		صنعت
سیاسی			0.054735703855865944		0.022294426041094644		اسلام
ورزش			0.049388785046482524		0.022088525651626407		دیدار
اقتصاد			0.0561221994355356			0.021820025537395624		میلیون
ورزش			0.03977735756802086			0.021797394686980515		جامعه
سیاسی			0.0532794790888816			0.021792598401748818		ایرنا
ورزش			0.051557958897497716		0.02173250160971857			تاکید
سیاسی			0.053702204482897524		0.02141078297127938			الله
سیاسی			0.055604026987407996		0.021340862337908256		رهبری
اقتصاد			0.054928121006289285		0.02101352289303954			اقتصاد
اجتماعی			0.043209998570384905		0.02098523067834404			مطبوعات
سیاسی			0.04723516961103888			0.020852643108581113		الاسلام
ورزش			0.056789246791118075		0.020631987972825925		حریفان
اقتصاد			0.0540492340599832			0.020429446098011932		هزار
ورزش			0.05633459571493621			0.020408004071787875		مهاجم
سیاسی			0.05529092511214517			0.0203329803463635			رئیس
اقتصاد			0.053528230413002			0.02024420983098305			پارس
اقتصاد			0.04417444292209251			0.0201518579111635			میزان
ورزش			0.05689598243432739			0.02008011379806573			گزارش
سیاسی			0.04620066405713913			0.02000903889165511			حجت
ورزش			0.055969153578359646		0.01997758316197267			دروازه
سیاسی			0.053538606711570194		0.019969953970419542		نگهبان
ورزش			0.056044986890015566		0.01987519753867255			میزبان
ورزش			0.05073569395490872			0.01968284236935781			ورزش
اجتماعی			0.052375544875311895		0.01959889347776124			خانواده
